iata,name,city,state,country,latitude,longitude
00M,Thigpen,Bay Springs,MS,USA,49.2827,-123.1207
00R,Livingston Municipal,Livingston,TX,USA,49.2827,-123.1207
00V,Meadow Lake,Colorado Springs,CO,USA,49.2827,-123.1207
01G,Perry-Warsaw,Perry,NY,USA,49.2827,-123.1207
01J,Hilliard Airpark,Hilliard,FL,USA,49.2827,-123.1207
01M,Tishomingo County,Belmont,MS,USA,49.2827,-123.1207
02A,Gragg-Wade,Clanton,AL,USA,49.2827,-123.1207
02C,Capitol,Brookfield,WI,USA,49.2827,-123.1207
02G,Columbiana County,East Liverpool,OH,USA,49.2827,-123.1207
03D,Memphis Memorial,Memphis,MO,USA,49.2827,-123.1207
04M,Calhoun County,Pittsboro,MS,USA,49.2827,-123.1207
04Y,Hawley Municipal,Hawley,MN,USA,49.2827,-123.1207
05C,Griffith-Merrillville,Griffith,IN,USA,49.2827,-123.1207
05F,Gatesville - City/County,Gatesville,TX,USA,49.2827,-123.1207
05U,Eureka,Eureka,NV,USA,49.2827,-123.1207
06A,Moton  Municipal,Tuskegee,AL,USA,49.2827,-123.1207
06C,Schaumburg,Chicago/Schaumburg,IL,USA,49.2827,-123.1207
06D,Rolla Municipal,Rolla,ND,USA,49.2827,-123.1207
06M,Eupora Municipal,Eupora,MS,USA,49.2827,-123.1207
06N,Randall,Middletown,NY,USA,49.2827,-123.1207
06U,Jackpot/Hayden,Jackpot,NV,USA,49.2827,-123.1207
07C,Dekalb County,Auburn,IN,USA,49.2827,-123.1207
07F,Gladewater Municipal,Gladewater,TX,USA,49.2827,-123.1207
07G,Fitch H Beach,Charlotte,MI,USA,49.2827,-123.1207
07K,Central City Municipal,Central City,NE,USA,49.2827,-123.1207
08A,Wetumpka Municipal,Wetumpka,AL,USA,49.2827,-123.1207
08D,Stanley Municipal,Stanley,ND,USA,49.2827,-123.1207
08K,Harvard State,Harvard,NE,USA,49.2827,-123.1207
08M,Carthage-Leake County,Carthage,MS,USA,49.2827,-123.1207
09A,Butler-Choctaw County,Butler,AL,USA,49.2827,-123.1207
09J,Jekyll Island,Jekyll Island,GA,USA,49.2827,-123.1207
09K,Sargent Municipal,Sargent,NE,USA,49.2827,-123.1207
09M,Charleston Municipal,Charleston,MS,USA,49.2827,-123.1207
09W,South Capitol Street,Washington,DC,USA,49.2827,-123.1207
0A3,Smithville Municipal,Smithville,TN,USA,49.2827,-123.1207
0A8,Bibb County,Centreville,AL,USA,49.2827,-123.1207
0A9,Elizabethton Municipal,Elizabethton,TN,USA,49.2827,-123.1207
0AK,Pilot Station,Pilot Station,AK,USA,49.2827,-123.1207
0B1,Col. Dyke,Bethel,ME,USA,49.2827,-123.1207
0B4,Hartington Municipal,Hartington,NE,USA,49.2827,-123.1207
0B5,Turners Falls,Montague,MA,USA,49.2827,-123.1207
0B7,Warren-Sugar Bush,Warren,VT,USA,49.2827,-123.1207
0B8,Elizabeth,Fishers Island,NY,USA,49.2827,-123.1207
0C0,Dacy,Chicago/Harvard,IL,USA,49.2827,-123.1207
0C4,Pender Municipal,Pender,NE,USA,49.2827,-123.1207
0D1,South Haven Municipal,South Haven,MI,USA,49.2827,-123.1207
0D8,Gettysburg Municipal,Gettysburg,SD,USA,49.2827,-123.1207
0.00E+00,Moriarty,Moriarty,NM,USA,49.2827,-123.1207
0.00E+00,Crownpoint,Crownpoint,NM,USA,49.2827,-123.1207
0F2,Bowie Municipal,Bowie,TX,USA,49.2827,-123.1207
0F4,Loup City Municipal,Loup City,NE,USA,49.2827,-123.1207
0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,49.2827,-123.1207
0F8,William R Pogue Municipal,Sand Springs,OK,USA,49.2827,-123.1207
0F9,Tishomingo Airpark,Tishomingo,OK,USA,49.2827,-123.1207
0G0,North Buffalo Suburban,Lockport,NY,USA,49.2827,-123.1207
0G3,Tecumseh Municipal,Tecumseh,NE,USA,49.2827,-123.1207
0G6,Williams County,Bryan,OH,USA,49.2827,-123.1207
0G7,Finger Lakes Regional,Seneca Falls,NY,USA,49.2827,-123.1207
0H1,Trego Wakeeney,Wakeeney,KS,USA,49.2827,-123.1207
