,Month,Airport,Number of Delays,Total Flights,Percent Delayed,Airport Name,Delay Category
0,Jan,ABE,74,316,0.234177215,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",>23.3% and <30.8%
1,Jan,ABI,34,169,0.201183432,"Abilene, TX: Abilene Regional",>8.3% and <23.3%
2,Jan,ABQ,257,1800,0.142777778,"Albuquerque, NM: Albuquerque International Sunport",>8.3% and <23.3%
3,Jan,ABR,9,62,0.14516129,"Aberdeen, SD: Aberdeen Regional",>8.3% and <23.3%
4,Jan,ABY,11,83,0.13253012,"Albany, GA: Southwest Georgia Regional",>8.3% and <23.3%
5,Jan,ACT,23,111,0.207207207,"Waco, TX: Waco Regional",>8.3% and <23.3%
6,Jan,ACV,21,97,0.216494845,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",>8.3% and <23.3%
7,Jan,ACY,20,310,0.064516129,"Atlantic City, NJ: Atlantic City International",>0.8% and <8.3%
8,Jan,ADK,0,9,0,"Adak Island, AK: Adak",<0.8%
9,Jan,ADQ,4,52,0.076923077,"Kodiak, AK: Kodiak Airport",>0.8% and <8.3%
10,Jan,AEX,38,267,0.142322097,"Alexandria, LA: Alexandria International",>8.3% and <23.3%
11,Jan,AGS,74,284,0.26056338,"Augusta, GA: Augusta Regional at Bush Field",>23.3% and <30.8%
12,Jan,ALB,200,1030,0.194174757,"Albany, NY: Albany International",>8.3% and <23.3%
13,Jan,ALO,9,58,0.155172414,"Waterloo, IA: Waterloo Regional",>8.3% and <23.3%
14,Jan,AMA,40,417,0.095923261,"Amarillo, TX: Rick Husband Amarillo International",>8.3% and <23.3%
15,Jan,ANC,62,1207,0.051367026,"Anchorage, AK: Ted Stevens Anchorage International",>0.8% and <8.3%
16,Jan,APN,12,52,0.230769231,"Alpena, MI: Alpena County Regional",>8.3% and <23.3%
17,Jan,ASE,200,985,0.203045685,"Aspen, CO: Aspen Pitkin County Sardy Field",>8.3% and <23.3%
18,Jan,ATL,5876,30617,0.191919522,"Atlanta, GA: Hartsfield-Jackson Atlanta International",>8.3% and <23.3%
19,Jan,ATW,50,318,0.157232704,"Appleton, WI: Appleton International",>8.3% and <23.3%
20,Jan,AUS,713,4704,0.151573129,"Austin, TX: Austin - Bergstrom International",>8.3% and <23.3%
21,Jan,AVL,116,483,0.240165631,"Asheville, NC: Asheville Regional",>23.3% and <30.8%
22,Jan,AVP,59,253,0.233201581,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",>23.3% and <30.8%
23,Jan,AZA,49,438,0.111872146,"Phoenix, AZ: Phoenix - Mesa Gateway",>8.3% and <23.3%
24,Jan,AZO,53,225,0.235555556,"Kalamazoo, MI: Kalamazoo/Battle Creek International",>23.3% and <30.8%
25,Jan,BDL,381,2322,0.164082687,"Hartford, CT: Bradley International",>8.3% and <23.3%
26,Jan,BET,4,73,0.054794521,"Bethel, AK: Bethel Airport",>0.8% and <8.3%
27,Jan,BFF,0,3,0,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",<0.8%
28,Jan,BFL,30,171,0.175438596,"Bakersfield, CA: Meadows Field",>8.3% and <23.3%
29,Jan,BGM,15,58,0.25862069,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",>23.3% and <30.8%
30,Jan,BGR,30,251,0.119521912,"Bangor, ME: Bangor International",>8.3% and <23.3%
31,Jan,BHM,200,1401,0.142755175,"Birmingham, AL: Birmingham-Shuttlesworth International",>8.3% and <23.3%
32,Jan,BIL,40,351,0.113960114,"Billings, MT: Billings Logan International",>8.3% and <23.3%
